TOTAL_VALUE,LOT_SQFT,YR_BUILT,LIVING_AREA,FLOORS,ROOMS,BEDROOMS,FULL_BATH,HALF_BATH,KITCHEN,FIREPLACE,REMODEL
344.2,9965,1880,1352,2,6,3,1,1,1,0,None
412.6,6590,1945,1976,2,10,4,2,1,1,0,Recent
330.1,7500,1890,1371,2,8,4,1,1,1,0,None
498.6,13773,1957,2608,1,9,5,1,1,1,1,None
331.5,5000,1910,1438,2,7,3,2,0,1,0,None
337.4,5142,1950,1060,1,6,3,1,0,1,1,Old
359.4,5000,1954,1916,2,7,3,1,1,1,0,None
320.4,10000,1950,1200,1,6,3,1,0,1,0,None
333.5,6835,1958,1092,1,5,3,1,0,1,1,Recent
409.4,5093,1900,2992,2,8,4,2,0,1,0,None
313,5000,1960,1485,1.5,6,3,2,0,1,1,None
344.5,6768,1958,1460,1.5,6,3,2,0,1,1,None
315.5,5000,1889,1290,2,6,3,1,0,1,0,None
575,12288,2004,2378,2,9,4,2,1,1,1,None
326.2,5000,1954,1272,1.5,6,3,1,1,1,1,None
298.2,5000,1940,864,1,7,3,2,0,1,0,None
313.1,6949,1880,1438,1.5,7,3,1,1,1,0,Old
344.9,10000,1950,1445,1,7,3,1,1,1,1,None
330.7,5000,1910,1470,2,7,3,1,0,1,0,None
348,9001,1875,1632,2,7,3,1,0,1,0,None
317.5,4450,1920,1232,2,7,3,1,0,1,0,None
330.8,5000,1889,1302,1.5,6,2,1,0,1,0,Recent
357.8,12255,1944,1275,1.5,6,3,1,1,1,1,None
414.7,12972,1892,2054,1.5,6,3,3,0,1,0,None
318.8,4717,1900,1371,2,7,3,1,1,1,0,None
346.2,5000,1910,1541,2,7,3,1,0,1,0,None
245.1,4142,1880,927,1.5,5,2,1,0,1,0,None
317.4,5000,1910,1244,1.5,7,3,1,0,1,0,None
247.3,4012,1896,1048,1.5,6,3,1,0,1,0,None
320.8,13275,1910,808,1.5,6,2,1,1,1,0,None
328.8,4717,1906,1469,1.5,6,3,2,0,1,0,None
293.6,4289,1910,1436,2,7,3,1,0,1,0,None
280.1,10688,1890,1625,2,7,4,1,0,1,0,None
342.5,4717,1925,1620,2,7,3,1,1,1,0,None
337.2,5000,1920,1906,2,9,4,2,0,1,0,None
336.5,6842,1910,1393,2,6,3,2,0,1,0,None
315.6,6675,1945,1394,1.5,6,2,2,0,1,0,None
296.5,5683,1960,1452,1,6,3,1,1,1,1,None
239.7,5450,1963,960,1,5,3,1,0,1,1,None
318.4,4717,1915,1803,1,7,3,1,1,1,0,None
431.5,6733,1990,1792,2,7,3,2,1,1,1,Old
349.8,7242,1910,1460,2,7,3,1,1,1,0,None
344,5683,1940,1870,2,9,4,2,0,1,1,None
358.3,6138,1910,1690,2,7,3,1,1,1,0,None
346.2,11250,1900,1391,1.5,6,3,1,0,1,0,Old
490.7,5683,1995,2640,2,6,3,1,1,1,1,Recent
371.9,7001,1996,1500,2,7,3,2,1,1,1,None
325.3,4717,1910,1572,2,7,3,1,1,1,0,None
340.5,8489,1950,1326,1.5,6,3,1,1,1,1,None
432.5,7139,1996,1500,2,7,3,2,1,1,0,None
334.7,4584,1907,1694,2,7,3,1,1,1,0,None
314.3,7193,1900,1508,2,7,3,1,0,1,0,None
405.5,3867,1996,1560,2,7,3,2,1,1,1,None
326,4262,1960,1300,2,7,3,1,1,1,1,None
285.6,5325,1945,1364,1,5,2,1,0,1,1,None
345.9,8005,1900,1562,2,7,3,1,1,1,1,None
317.3,7234,1910,1440,2,7,3,1,0,1,0,None
277.8,5959,1940,1018,1,5,3,1,1,1,1,None
306.8,7785,1860,1056,1.5,6,3,1,0,1,0,None
265.7,3887,1950,1075,1,6,3,2,0,1,1,Old
356.8,5906,1967,2051,1,8,4,1,1,1,2,None
299.9,5401,1991,1800,2,6,3,1,1,1,1,None
287.8,3204,1991,1800,2,6,3,1,1,1,1,None
296,2947,1991,1800,2,6,3,1,1,1,1,None
